"filename", "language", "JavaScript", "CSS", "HTML", "JSON", "comment", "blank", "total"
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/homepage/mobile.css", "CSS", 0, 9, 0, 0, 1, 2, 12
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/homepage/news.css", "CSS", 0, 46, 0, 0, 0, 9, 55
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/homepage/scripts.js", "JavaScript", 61, 0, 0, 0, 5, 15, 81
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/homepage/sections.css", "CSS", 0, 81, 0, 0, 1, 18, 100
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/homepage/services.css", "CSS", 0, 57, 0, 0, 0, 9, 66
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/homepage/styles.css", "CSS", 0, 61, 0, 0, 0, 9, 70
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/homepage/submitContact.html", "HTML", 0, 0, 4, 0, 0, 0, 4
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/index.html", "HTML", 0, 0, 121, 0, 1, 12, 134
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/info/privacyPolicy/index.html", "HTML", 0, 0, 40, 0, 0, 10, 50
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/info/sources/index.html", "HTML", 0, 0, 153, 0, 0, 49, 202
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/info/termsOfUse/index.html", "HTML", 0, 0, 40, 0, 0, 3, 43
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/login/index.html", "HTML", 0, 0, 52, 0, 0, 3, 55
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/login/mobile.css", "CSS", 0, 36, 0, 0, 0, 5, 41
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/login/script.js", "JavaScript", 44, 0, 0, 0, 0, 6, 50
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/login/style.css", "CSS", 0, 129, 0, 0, 0, 23, 152
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/account/editUser.js", "JavaScript", 85, 0, 0, 0, 0, 15, 100
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/account/index.html", "HTML", 0, 0, 41, 0, 0, 1, 42
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/account/script.js", "JavaScript", 45, 0, 0, 0, 1, 4, 50
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/account/style.css", "CSS", 0, 121, 0, 0, 9, 23, 153
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/account/userActions.js", "JavaScript", 41, 0, 0, 0, 7, 11, 59
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/admin/adminServices/adminCheck.js", "JavaScript", 7, 0, 0, 0, 0, 1, 8
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/admin/adminServices/userManagment/editAccount.js", "JavaScript", 57, 0, 0, 0, 0, 10, 67
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/admin/adminServices/userManagment/index.html", "HTML", 0, 0, 41, 0, 0, 5, 46
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/admin/adminServices/userManagment/script.js", "JavaScript", 39, 0, 0, 0, 1, 8, 48
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/admin/adminServices/userManagment/spotify.js", "JavaScript", 61, 0, 0, 0, 0, 5, 66
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/admin/adminServices/userManagment/style.css", "CSS", 0, 36, 0, 0, 0, 7, 43
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/admin/index.html", "HTML", 0, 0, 22, 0, 0, 3, 25
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/admin/script.js", "JavaScript", 6, 0, 0, 0, 0, 1, 7
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/admin/style.css", "CSS", 0, 55, 0, 0, 3, 7, 65
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/dashboard/index.html", "HTML", 0, 0, 38, 0, 0, 3, 41
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/dashboard/script.js", "JavaScript", 7, 0, 0, 0, 0, 1, 8
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/dashboard/style.css", "CSS", 0, 58, 0, 0, 3, 7, 68
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/globalPrivilaged.js", "JavaScript", 142, 0, 0, 0, 4, 19, 165
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/landing/index.html", "HTML", 0, 0, 28, 0, 0, 4, 32
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/landing/style.css", "CSS", 0, 56, 0, 0, 3, 7, 66
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/landing/user.js", "JavaScript", 82, 0, 0, 0, 5, 17, 104
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/messages/channelInfo.css", "CSS", 0, 34, 0, 0, 0, 6, 40
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/messages/index.html", "HTML", 0, 0, 36, 0, 2, 3, 41
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/messages/messages.js", "JavaScript", 2, 0, 0, 0, 0, 1, 3
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/messages/script.js", "JavaScript", 71, 0, 0, 0, 6, 12, 89
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/messages/style.css", "CSS", 0, 97, 0, 0, 10, 15, 122
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/services/avationData/index.html", "HTML", 0, 0, 37, 0, 0, 0, 37
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/services/fortnite/index.html", "HTML", 0, 0, 37, 0, 0, 0, 37
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/services/music/index.html", "HTML", 0, 0, 37, 0, 0, 0, 37
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/services/planeTracker/icons.js", "JavaScript", 55, 0, 0, 0, 2, 4, 61
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/services/planeTracker/index.html", "HTML", 0, 0, 27, 0, 2, 6, 35
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/services/planeTracker/script.js", "JavaScript", 43, 0, 0, 0, 17, 16, 76
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/services/planeTracker/style.css", "CSS", 0, 31, 0, 0, 1, 5, 37
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/services/pokemon/index.html", "HTML", 0, 0, 37, 0, 0, 0, 37
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/services/space/index.html", "HTML", 0, 0, 37, 0, 0, 0, 37
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/services/spotifyLink/content.css", "CSS", 0, 53, 0, 0, 0, 8, 61
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/services/spotifyLink/content/getRecomdations.js", "JavaScript", 73, 0, 0, 0, 0, 11, 84
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/services/spotifyLink/content/search.js", "JavaScript", 91, 0, 0, 0, 3, 18, 112
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/services/spotifyLink/extra.css", "CSS", 0, 36, 0, 0, 0, 6, 42
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/services/spotifyLink/helper.js", "JavaScript", 23, 0, 0, 0, 0, 5, 28
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/services/spotifyLink/index.html", "HTML", 0, 0, 114, 0, 2, 16, 132
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/services/spotifyLink/player/playerControlls.js", "JavaScript", 56, 0, 0, 0, 9, 12, 77
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/services/spotifyLink/player/progress.js", "JavaScript", 52, 0, 0, 0, 1, 10, 63
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/services/spotifyLink/player/queue.js", "JavaScript", 54, 0, 0, 0, 0, 5, 59
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/services/spotifyLink/player/script.js", "JavaScript", 143, 0, 0, 0, 11, 28, 182
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/services/spotifyLink/player/setPlayer.js", "JavaScript", 51, 0, 0, 0, 0, 11, 62
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/services/spotifyLink/popUp/itemsPopUp.js", "JavaScript", 23, 0, 0, 0, 0, 2, 25
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/services/spotifyLink/popUp/popUp.js", "JavaScript", 20, 0, 0, 0, 1, 3, 24
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/services/spotifyLink/popUp/viewList.js", "JavaScript", 69, 0, 0, 0, 0, 7, 76
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/services/spotifyLink/search.css", "CSS", 0, 98, 0, 0, 0, 24, 122
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/services/spotifyLink/style.css", "CSS", 0, 155, 0, 0, 0, 25, 180
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/services/spotifyLink_old/index.html", "HTML", 0, 0, 144, 0, 0, 26, 170
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/services/spotifyLink_old/player.css", "CSS", 0, 113, 0, 0, 0, 19, 132
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/services/spotifyLink_old/queue.css", "CSS", 0, 40, 0, 0, 0, 7, 47
